	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
FAM126B	269	381	374	337
FAM127A	104	130	108	96
FAM127B	36	56	83	61
FAM127C	37	53	73	72
FAM129A	24	32	35	34
FAM129B	514	659	716	644
FAM133B	649	697	828	866
FAM134A	460	449	538	494
FAM134B	34	43	41	43
FAM134C	392	416	464	346
FAM135A	876	1036	1163	1044
FAM136A	361	430	460	397
FAM13A	387	469	563	549
FAM13B	699	865	1157	1028
FAM13C	37	37	52	42
FAM149A	26	34	36	33
FAM149B1	198	220	226	225
FAM151B	26	35	62	45
FAM155B	53	57	59	52
FAM156A	292	328	312	318
FAM160A1	112	154	199	136
FAM160A2	241	327	346	309
FAM160B1	269	313	421	371
FAM160B2	55	69	93	81
FAM161A	141	216	279	275
FAM161B	46	64	69	63
FAM162A	577	776	826	864
FAM168A	50	50	46	30
FAM168B	201	222	197	161
FAM169A	539	723	838	778
FAM171A1	351	501	552	484
FAM171A2	64	95	96	90
FAM171B	301	382	331	300
FAM172A	200	197	253	264
FAM173A	95	96	140	128
FAM173B	137	188	233	178
FAM174A	37	56	64	54
FAM175A	89	127	134	116
FAM175B	306	429	412	390
FAM177A1	191	242	250	240
FAM178A	1215	1499	1661	1495
FAM179B	258	312	408	365
FAM184A	395	600	678	645
FAM185A	176	231	266	254
FAM188A	765	898	1067	1081
FAM188B	133	166	153	148
FAM189B	91	172	318	254
FAM192A	504	609	588	568
FAM193A	267	404	582	532
FAM193B	262	333	462	312
FAM195A	49	60	81	59
FAM195B	77	117	136	149
FAM198A	64	81	75	77
FAM199X	824	1147	1089	959
FAM200A	148	201	238	215
FAM200B	250	289	353	327
FAM203A	210	231	360	343
FAM204A	487	678	739	791
FAM206A	77	73	103	111
FAM207A	276	348	356	400
FAM208A	2292	2872	3262	2968
FAM208B	5549	7062	8108	7312
FAM20B	443	539	663	626
FAM20C	14	33	34	36
FAM210A	164	221	218	211
FAM210B	71	112	138	136
FAM213A	226	301	371	408
FAM214A	141	173	234	183
FAM216A	435	554	485	421
FAM217B	236	307	319	290
FAM219A	43	49	65	63
FAM219B	132	154	174	177
FAM21A	2037	2675	2921	2807
FAM21B	1825	2396	2605	2470
FAM21C	1923	2541	2749	2651
FAM220A	119	148	156	173
FAM221A	22	30	46	37
FAM222A	27	29	31	19
FAM222B	33	30	50	43
FAM227A	35	73	75	73
FAM229B	102	108	133	134
FAM32A	206	259	334	317
FAM35A	965	1220	1319	1167
FAM3A	211	256	284	276
FAM3C	310	494	472	457
FAM46A	64	104	133	114
FAM46C	34	41	38	34
FAM49B	854	1080	1095	1057
FAM50A	1057	1364	1330	1446
FAM50B	30	44	27	31
FAM53B	226	246	292	236
FAM53C	372	443	320	302
FAM57A	94	109	133	115
FAM58A	336	408	361	305
FAM5C	23	37	35	37
FAM60A	587	757	701	646
FAM63A	75	120	153	113
FAM63B	104	166	178	140
FAM64A	194	215	225	229
FAM65A	57	79	209	135
FAM69A	110	140	166	152
FAM69B	479	489	620	519
FAM72A	230	297	308	228
FAM72B	243	315	303	231
FAM72D	233	305	287	209
FAM73A	361	446	575	493
FAM73B	228	247	268	263
FAM76A	279	322	338	345
FAM76B	190	255	224	241
FAM81A	37	49	82	37
FAM83B	65	89	104	70
FAM83D	685	836	797	701
FAM83G	180	239	287	272
FAM83H	85	126	132	127
FAM84B	165	222	215	210
FAM86A	203	250	256	208
FAM86B1	54	60	57	53
FAM86B2	42	46	48	43
FAM89A	51	83	104	112
FAM89B	36	42	64	45
FAM8A1	239	267	286	316
FAM91A1	1081	1443	1453	1371
FAM92A1	292	376	442	415
FAM96A	397	427	529	576
FAM98A	788	1028	1107	1026
FAM98B	202	255	471	309
FAM98C	37	62	66	56
FAN1	534	574	720	661
FANCA	860	1103	1508	1205
FANCB	659	784	1053	1026
FANCC	193	228	306	249
FANCD2	2653	3300	3873	3541
FANCE	195	220	311	245
FANCG	446	509	569	477
FANCI	4095	4956	5351	5003
FANCL	386	515	570	580
FANCM	964	1352	1444	1419
FAR1	1245	1599	1775	1677
FAR2	343	421	364	338
FARP1	240	376	423	324
FARP2	337	437	547	489
FARS2	279	364	360	382
FARSA	1395	1702	1970	1953
FARSB	1357	1721	1816	1420
FAS	53	49	66	65
FASN	3856	5081	10375	7717
FASTK	463	545	551	519
FASTKD1	848	1007	1001	914
FASTKD2	1093	1244	1425	1266
FASTKD3	340	417	359	348
FASTKD5	662	780	952	675
FAT1	3353	4333	4940	4312
FAT3	249	321	344	291
FAT4	350	475	550	505
FAU	3890	4970	4907	4671
FAXC	91	133	144	142
FBF1	214	262	316	245
FBL	2065	2588	2767	2755
FBLIM1	36	39	41	48
FBLN1	102	123	187	156
FBN1	562	781	919	781
FBN2	1875	2445	3268	2880
FBRS	87	111	204	122
FBRSL1	99	124	230	192
FBXL12	71	104	113	105
FBXL14	107	136	128	97
FBXL15	74	90	148	128
FBXL17	86	105	153	123
FBXL18	74	102	143	130
FBXL19	450	555	726	596
FBXL2	93	111	146	112
FBXL20	133	195	211	181
FBXL3	714	883	978	871
FBXL4	355	428	489	475
FBXL5	755	960	1089	952
FBXL6	125	153	181	169
FBXO10	221	319	410	267
FBXO11	541	658	1073	918
FBXO16	24	34	40	47
FBXO18	1186	1488	1604	1471
FBXO21	770	920	1018	911
FBXO22	821	1031	1269	1175
FBXO25	165	193	205	174
FBXO28	791	938	1010	873
FBXO3	568	650	695	644
FBXO30	569	801	923	787
FBXO31	150	211	229	233
FBXO32	33	51	59	55
FBXO33	352	425	375	440
FBXO34	472	648	647	552
FBXO38	518	552	696	562
FBXO4	117	140	129	125
FBXO42	360	464	467	444
FBXO44	53	59	86	65
FBXO45	118	132	140	116
FBXO46	73	77	111	111
FBXO5	1090	1428	1483	1399
FBXO7	1075	1317	1543	1261
FBXO8	125	197	202	179
FBXO9	692	770	1030	889
FBXW11	736	877	959	993
FBXW2	552	765	855	842
FBXW4	148	185	239	198
FBXW5	575	707	681	568
FBXW7	408	471	475	441
FBXW8	133	166	230	219
FBXW9	127	165	136	178
FCF1	249	311	395	374
FCGBP	28	27	53	33
FCGRT	36	66	51	58
FCHO2	313	383	379	356
FCHSD1	49	61	83	55
FCHSD2	217	298	379	347
FDFT1	1220	1552	1601	1468
FDPS	1952	2409	2414	2225
FDX1	292	327	414	472
FDX1L	102	130	148	154
FDXACB1	141	189	185	158
FDXR	185	203	252	238
FECH	299	354	401	329
FEM1A	725	921	851	789
FEM1B	1316	1592	1807	1556
FEM1C	273	358	506	414
FEN1	1512	1652	1815	1772
FER	369	482	552	472
FERMT1	38	38	43	42
FERMT2	633	793	789	768
FEZ1	44	51	52	47
FEZ2	231	280	322	337
FGD1	121	198	312	258
FGD4	83	87	82	93
FGD6	169	173	206	180
FGF2	23	26	44	42
FGFR1	318	452	506	395
FGFR1OP	573	782	944	854
FGFR1OP2	383	513	498	484
FGFR2	270	344	432	341
FGFR3	351	448	499	427
FGFR4	112	140	167	132
FGFRL1	121	139	172	150
FGGY	46	74	75	69
FH	1825	2325	2229	2017
FHAD1	25	36	40	34
FHL1	449	617	632	586
FHL2	78	96	92	92
FHOD1	263	386	470	449
FHOD3	117	146	180	172
FIBP	519	603	607	584
FICD	26	45	42	40
FIG4	437	496	515	490
FIGN	80	98	182	156
FIGNL1	1294	1640	1666	1441
FIP1L1	386	443	386	368
FIS1	396	501	551	534
FITM2	55	53	100	74
FJX1	67	84	118	97
FKBP10	769	948	926	850
FKBP11	37	33	52	47
FKBP14	154	217	291	272
FKBP15	576	720	857	698
FKBP1A	224	326	366	311
FKBP2	158	179	209	209
FKBP3	1170	1518	1561	1617
FKBP4	5388	6455	6851	6320
FKBP5	284	417	478	489
FKBP7	112	131	154	130
FKBP8	878	1109	1295	1298
FKBP9	219	325	353	362
FKBPL	184	193	229	178
FKRP	68	79	106	91
FKTN	225	316	341	341
FLAD1	748	936	970	856
FLCN	449	610	668	544
FLII	4089	5139	5082	4710
FLJ00285	694	875	1145	863
FLJ00322	217	220	306	223
FLJ14346	32	39	54	37
FLJ44955	55	72	140	122
FLNA	6570	8973	10640	8874
FLNB	3124	4167	4726	4298
FLNC	573	718	977	823
FLOT1	299	401	420	443
FLOT2	233	300	441	395
FLRT3	79	95	82	61
FLT1	88	98	121	92
FLT4	311	399	391	375
FLVCR1	383	447	522	434
FLYWCH1	241	279	440	416
FLYWCH2	149	203	179	192
FMN2	75	107	175	188
FMNL2	604	734	877	857
FMNL3	89	114	156	137
FMO4	26	37	31	38
FMR1	975	1360	1675	1617
FN1	259	352	385	367
FN3KRP	203	217	270	278
FNBP1	197	262	376	305
FNBP1L	301	368	386	366
FNBP4	1017	1346	1540	1450
FNDC3A	1433	1725	1898	1667
FNDC3B	327	433	469	421
FNDC4	25	25	26	30
FNIP2	423	453	672	549
FNTA	528	695	707	715
FOCAD	2158	2605	2807	2411
FOPNL	182	238	263	245
FOXA1	32	39	45	31
FOXC1	416	543	534	451
FOXD1	85	113	125	116
FOXF2	46	75	74	58
FOXG1	63	96	85	64
FOXJ2	39	46	67	44
FOXJ3	225	284	333	298
FOXK1	152	227	260	192
FOXK2	674	854	917	764
FOXM1	643	823	990	750
FOXN2	189	225	258	199
FOXN3	112	142	154	152
FOXO1	129	155	238	200
FOXO3	479	671	760	606
FOXO4	65	62	57	58
FOXP1	318	430	354	290
FOXP2	149	193	200	133
FOXP4	49	49	134	98
FOXRED1	362	445	495	434
FOXRED2	603	790	1246	1042
FPGS	339	357	450	406
FPGT-TNNI3K	79	99	94	75
FRA10AC1	249	343	364	380
FRAS1	517	733	1040	888
FRAT2	32	37	56	71
FREM2	613	831	932	790
FRG1	409	443	440	467
FRMD4A	77	79	102	91
FRMD4B	49	66	70	52
FRMD5	44	45	59	62
FRMD6	239	281	272	235
FRMD8	83	111	172	142
FRRS1	238	263	287	220
FRS2	277	396	382	335
FRY	87	125	131	118
FRYL	1001	1165	1327	1223
FSBP	77	120	150	111
FSCN1	110	135	157	133
FSD1	180	246	252	242
FSD1L	67	96	143	102
FSIP2	64	135	131	166
FSTL1	409	551	533	475
FTH1	1582	2210	2957	2716
FTL	2055	2596	2193	1735
FTO	588	756	906	869
FTSJ1	286	346	326	281
FTSJ2	331	398	416	323
FTSJ3	2000	2472	2565	2509
FTSJD1	231	308	330	266
FTSJD2	1304	1667	1761	1695
FUBP1	3787	4737	4587	3919
FUBP3	733	1048	842	760
FUCA1	246	287	289	295
FUCA2	1054	1278	1334	1245
FUK	124	138	150	135
FUNDC1	109	163	189	217
FUNDC2	573	732	729	687
FUOM	67	126	110	127
FURIN	233	281	386	330
FUS	854	1287	2016	1579
FUT10	140	159	202	163
FUT11	85	116	130	153
FUT4	14	31	43	24
FUT8	340	411	531	459
FUZ	249	298	305	250
FXN	248	322	357	311
FXR1	1383	1776	1851	1926
FXR2	731	959	903	892
FXYD5	84	106	72	55
FYCO1	393	449	819	660
FYN	590	710	752	774
FYTTD1	419	497	538	473
FZD1	54	72	73	68
FZD2	36	45	48	37
FZD3	277	342	387	353
FZD4	47	43	72	36
FZD5	41	58	53	42
FZD6	486	583	590	537
FZD7	68	101	106	97
FZD8	34	65	52	62
FZD9	58	60	71	51
FZR1	203	313	319	296
G2E3	868	1108	1359	1233
G3BP1	4852	5910	6272	5972
G3BP2	2050	2560	2592	2612
G6PC3	166	182	231	176
G6PD	314	390	460	415
GAA	389	516	659	555
GAB1	115	167	164	137
GABARAP	270	353	370	300
GABARAPL1	51	67	77	85
GABARAPL2	333	439	473	432
GABBR1	55	69	160	107
GABBR2	20	27	34	33
GABPA	850	1035	1085	1079
GABPB1	304	408	453	358
GABPB2	116	174	211	192
GABRB3	164	201	191	161
GAD1	72	108	157	100
GADD45A	34	49	32	49
GADD45B	42	47	39	27
GADD45GIP1	563	723	716	783
GAK	640	846	875	763
GAL	223	298	249	197
GALC	33	42	58	38
GALE	193	207	204	182
GALK1	217	229	218	218
GALK2	169	243	270	250
GALM	178	273	279	223
GALNS	99	117	114	128
GALNT1	745	983	985	929
GALNT10	100	92	83	102
GALNT11	416	571	595	601
GALNT12	62	71	75	73
GALNT13	368	552	690	672
GALNT16	40	55	55	52
GALNT18	182	224	204	176
GALNT2	622	782	1056	978
GALNT3	16	31	59	45
GALNT4	111	151	177	138
GALNT6	37	40	58	51
GALNT7	458	567	685	613
GALT	142	168	196	148
GAMT	114	134	113	119
GAN	297	362	530	523
GANAB	3446	4383	5892	5230
GANC	119	124	184	149
GAPDH	24222	29097	26075	21525
GAPVD1	2535	3077	3603	3240
GAR1	203	260	269	278
GAREM	65	103	108	97
GAREML	46	74	69	60
GARNL3	130	195	215	209
GARS	3167	4088	4623	4591
GART	4597	5534	6017	5774
GAS1	22	63	74	68
GAS2L3	246	291	276	255
GAS6	55	62	70	63
GAS8	148	194	246	263
GATA2	72	83	91	82
GATA4	38	56	48	47
GATA6	70	79	128	82
GATAD1	129	158	159	145
GATAD2A	712	929	924	884
GATAD2B	172	250	418	357
GATC	173	193	270	249
GATS	28	36	28	36
GATSL1	57	97	105	86
GATSL2	61	98	106	87
GBA	391	534	470	374
GBA2	823	1000	1038	913
GBAS	474	615	564	572
GBE1	669	755	895	754
GBF1	1265	1700	2183	1843
GCA	209	210	219	205
GCAT	344	448	410	332
GCC1	374	495	493	503
GCC2	983	1449	1841	1731
GCDH	339	431	450	394
GCFC2	1001	1218	1161	1062
GCH1	81	120	98	99
GCHFR	32	37	32	31
GCLC	529	658	668	628
GCLM	358	452	507	460
GCN1L1	3661	4918	6255	5716
GCNT1	48	77	114	98
GCOM1	350	429	396	370
GCSH	405	547	696	716
GDAP1	213	265	331	314
GDAP2	439	579	591	496
GDE1	571	713	687	598
GDF11	49	72	58	71
GDI1	756	972	894	755
GDI2	3679	4396	4383	4253
GDPD1	59	79	95	63
GDPD5	18	30	35	21
GDPGP1	65	98	112	87
GEMIN2	434	547	625	613
GEMIN4	1411	1860	2023	1819
GEMIN5	2186	2817	3341	3026
GEMIN6	386	474	519	441
GEMIN7	104	120	149	132
GEMIN8	86	71	89	72
GEN1	663	821	987	887
GET4	244	331	390	365
GFER	76	92	108	92
GFI1	30	33	40	42
GFM1	1561	1954	2098	1999
GFM2	1072	1319	1457	1263
GFOD1	64	96	63	96
GFOD2	110	151	178	176
GFPT1	640	810	998	966
GFPT2	115	161	171	146
GGA1	356	485	487	438
GGA2	899	1256	1216	1195
GGA3	193	257	312	265
GGCT	473	586	592	551
GGCX	414	513	574	514
GGH	534	658	690	676
GGNBP2	603	770	988	883
GGPS1	635	832	866	775
GGT7	134	197	189	168
GHDC	96	123	153	136
GHITM	2377	3052	3028	2848
GID4	98	111	162	165
GID8	411	493	505	520
GIGYF1	408	496	736	642
GIGYF2	1744	2209	2349	2198
GIN1	103	144	127	101
GINM1	358	461	590	545
GINS1	238	323	345	381
GINS2	852	1036	1151	1130
GINS3	226	301	304	246
GINS4	305	427	370	388
GIPC1	469	529	490	437
GIT1	176	225	270	256
GIT2	323	423	495	469
GJA1	318	435	407	346
GJC1	209	293	333	345
GK	283	388	373	372
GK5	216	277	393	394
GKAP1	90	105	144	153
GLA	3520	4176	3908	3365
GLB1	863	1065	992	883
GLB1L	55	42	67	39
GLB1L2	282	386	372	328
GLB1L3	28	36	56	36
GLCCI1	116	113	140	104
GLCE	261	330	365	294
GLDC	372	466	534	432
GLE1	896	1055	1162	1082
GLG1	1374	1709	2239	2076
GLI2	25	37	43	34
GLI3	110	169	254	199
GLI4	30	43	52	29
GLIPR2	27	28	36	25
GLMN	801	1076	1182	1104
GLO1	2847	3406	3964	3888
GLOD4	660	786	925	930
GLRB	82	91	94	109
GLRX	18	39	25	31
GLRX2	214	294	303	246
GLRX3	1607	2028	2101	1995
GLRX5	242	314	340	342
GLS	983	1253	1512	1492
GLS2	42	37	53	42
GLT8D1	430	553	503	491
GLT8D2	33	49	32	36
GLTP	145	182	235	198
GLTSCR1	25	24	78	57
GLTSCR1L	72	90	118	120
GLTSCR2	1028	1388	1336	1418
GLUD1	1879	2184	2513	2301
GLUD2	464	521	663	629
GLUL	3615	4377	4449	4287
GLYCTK	74	77	103	88
GLYR1	792	1026	1250	1156
GM2A	123	167	177	169
GMCL1	329	472	504	470
GMDS	243	298	402	322
GMEB1	300	378	473	453
GMEB2	142	175	169	142
GMFB	279	398	408	411
GMIP	31	40	76	57
GMNN	1364	1771	1965	1906
GMPPA	374	465	460	376
GMPPB	336	409	452	407
GMPR2	473	522	577	588
GMPS	2738	3339	3713	3317
GNA11	397	460	472	438
GNA12	131	162	202	185
GNA13	346	436	515	451
GNAI1	241	283	344	334
GNAI2	370	467	486	455
GNAI3	1427	1667	1611	1586
GNAL	84	112	123	134
GNAQ	232	358	363	337
GNAS	3916	4969	6579	5849
GNAZ	118	139	128	116
GNB1	1047	1258	1334	1238
GNB1L	139	161	183	140
GNB2	643	901	892	760
GNB2L1	34109	42288	40515	35538
GNB4	367	468	511	440
GNB5	94	145	154	156
GNE	557	705	741	758
GNG12	58	97	108	74
GNG5	140	161	110	74
GNL1	521	615	656	621
GNL2	2784	3360	3495	3220
GNL3	6586	8503	8906	8761
GNL3L	838	1146	1781	1667
GNPAT	1565	1932	2193	1955
GNPDA1	469	592	575	481
GNPDA2	92	94	129	98
GNPNAT1	417	485	564	550
GNPTAB	707	927	1034	953
GNPTG	100	111	155	141
GNS	732	918	1101	925
GOLGA1	185	247	356	280
GOLGA2	308	441	516	471
GOLGA3	978	1269	1489	1425
GOLGA4	3052	4705	5141	5103
GOLGA5	624	764	749	649
GOLGA6L10	127	193	270	246
GOLGA6L4	75	102	132	113
GOLGA6L9	162	272	326	292
GOLGA7	188	257	237	211
GOLGA8A	588	826	983	921
GOLGA8B	579	817	974	914
GOLGB1	3346	4852	5315	5156
GOLIM4	810	1123	1035	979
GOLM1	814	1190	1072	1148
GOLPH3	309	447	508	447
GOLPH3L	224	286	317	279
GOLT1B	125	134	155	144
GON4L	1469	1937	2382	2066
GORAB	91	119	138	111
GORASP1	254	328	298	240
GORASP2	607	809	572	450
GOSR1	184	250	243	275
GOSR2	271	332	354	346
GOT1	570	709	709	640
GOT2	1438	1668	1952	1729
GPAA1	513	623	694	595
GPAM	697	877	901	818
GPANK1	81	93	115	117
GPATCH1	224	278	351	331
GPATCH11	211	195	273	255
GPATCH2	514	620	757	711
GPATCH2L	431	493	633	650
GPATCH3	188	219	266	273
GPATCH4	1097	1423	1395	1301
GPATCH8	563	746	1412	1057
GPBP1	1290	1532	1620	1555
GPBP1L1	778	955	1033	971
GPC1	72	84	108	103
GPC3	304	442	572	528
GPC4	87	143	256	248
GPC6	120	167	175	159
GPCPD1	359	461	544	492
GPD1L	254	307	346	340
GPD2	656	804	1017	1037
GPHN	338	462	577	526
GPI	3508	4748	4629	3914
GPKOW	439	509	636	552
GPLD1	95	101	111	116
GPM6A	28	31	56	43
GPM6B	69	83	113	75
GPN1	540	636	644	607
GPN2	215	261	271	242
GPN3	472	574	604	607
GPR107	357	454	471	410
GPR108	188	268	212	207
GPR124	40	43	65	35
GPR125	695	951	1072	969
GPR126	71	83	76	89
GPR137	67	66	110	84
GPR137B	90	101	130	103
GPR137C	28	50	65	66
GPR155	87	107	88	97
GPR160	109	147	114	88
GPR161	111	137	128	123
GPR176	53	60	70	44
GPR180	349	442	412	346
GPR27	25	31	64	47
GPR52	24	25	41	28
GPR63	59	81	82	64
GPR75	50	50	100	53
GPR89A	796	1048	1060	857
GPR89B	796	1048	1060	857
GPR89C	577	754	800	668
GPR98	1773	2437	2869	2679
GPRASP1	137	209	263	244
GPRC5B	34	46	41	28
GPRC5C	28	37	28	25
GPRIN1	406	528	634	618
GPRIN3	73	93	92	78
GPS1	1204	1478	1583	1378
GPS2	481	586	481	401
GPSM1	116	177	190	149
GPSM2	539	677	757	757
GPT2	302	346	362	361
GPX1	1538	1912	2073	1842
GPX3	37	46	95	61
GPX4	1539	1969	1969	1858
GPX8	210	303	300	270
GRAMD1A	255	292	398	352
GRAMD1B	29	55	64	65
GRAMD1C	48	51	63	68
GRAMD4	136	184	196	216
GRB10	485	577	711	668
GRB14	100	131	174	149
GRB2	499	584	609	616
GREB1	87	123	151	139
GREB1L	500	702	785	711
GRHL1	61	72	64	59
GRHPR	520	641	715	645
GRID1	86	121	142	90
GRINA	299	413	496	364
GRIP1	93	138	135	117
GRIPAP1	437	604	677	644
GRK4	31	38	44	52
GRK5	82	122	97	93
GRK6	1032	1260	1430	1351
GRN	566	739	915	851
GRPEL1	1043	1227	1152	1124
GRPEL2	301	344	412	434
GRSF1	1657	2069	2452	2283
GRTP1	47	54	83	68
GRWD1	910	1112	1271	1148
GSE1	165	244	441	365
GSG2	518	635	732	584
GSK3A	214	262	335	293
GSK3B	444	609	725	626
GSKIP	107	154	157	130
GSN	96	137	127	117
GSPT1	2351	3130	3980	3954
GSR	915	1216	1294	1247
GSS	704	880	863	842
GSTA4	269	339	391	362
GSTCD	575	698	771	646
GSTK1	297	347	396	393
GSTM1	19	21	41	30
GSTM3	438	528	587	580
GSTM4	29	20	42	38
GSTO1	1136	1296	1420	1372
GSTP1	3022	3578	4130	3582
GSTZ1	156	197	157	152
GTDC1	78	85	86	68
GTDC2	339	386	378	297
GTF2A1	338	485	428	432
GTF2A2	245	377	320	328
GTF2B	620	752	700	715
GTF2E1	141	194	234	207
GTF2E2	349	438	446	435
GTF2F1	1047	1299	1147	1061
GTF2F2	452	550	597	606
GTF2H1	644	769	825	721
GTF2H2	2185	2663	2919	2812
GTF2H2C	2206	2666	2954	2850
GTF2H3	623	688	806	724
GTF2H4	167	171	237	164
GTF2H5	309	343	389	350
GTF2I	5219	7035	8338	7947
GTF2IRD1	216	293	317	290
GTF2IRD2	86	114	98	91
GTF2IRD2B	88	117	101	96
GTF3A	1626	1999	1904	1652
GTF3C1	3623	4917	5629	5124
GTF3C2	984	1203	1270	1057
GTF3C3	1517	1878	1953	1835
GTF3C4	981	1169	1618	1424
GTF3C5	712	966	943	822
GTF3C6	1161	1448	1613	1586
GTPBP1	683	903	1135	940
GTPBP10	372	496	526	575
GTPBP2	342	405	477	425
GTPBP3	547	641	823	728
GTPBP4	2606	3264	3297	3327
GTPBP6	602	684	774	624
GTPBP8	361	487	449	464
GTSE1	397	513	646	523
GUCD1	273	300	304	262
GUCY1A2	33	34	35	43
GUCY1A3	157	218	203	189
GUCY1B3	144	120	162	142
GUF1	662	845	1038	994
GUK1	917	1138	1212	1123
GULP1	108	114	114	113
GUSB	441	552	587	562
GXYLT1	217	291	311	296
GXYLT2	190	255	293	258
GYG1	322	373	354	291
GYG2	94	130	133	110
GYLTL1B	69	68	111	88
GYPC	40	46	41	40
GYS1	435	625	829	602
GZF1	262	354	317	320
H1F0	231	343	267	212
H1FX	385	531	537	530
H2AFJ	31	30	43	45
H2AFV	371	511	549	500
H2AFX	960	1105	1023	789
H2AFY	2226	2681	3185	3054
H2AFY2	759	960	1003	950
H2AFZ	5223	6223	6045	5823
H3F3A	2849	3654	3140	2903
H3F3B	2169	2733	2476	2342
H3F3C	987	1195	974	758
H6PD	88	122	145	116
HABP4	132	185	207	184
HACE1	432	505	624	630
HACL1	655	775	957	866
HADH	465	586	736	623
HADHA	2574	3253	3590	3421
HADHB	1219	1449	1434	1226
HAGH	288	396	422	354
HAPLN3	44	50	66	51
HARBI1	49	50	49	44
HARS	1149	1498	1732	1651
HARS2	398	465	543	507
HAT1	1545	1990	2070	2032
HAUS1	500	701	650	651
HAUS2	212	239	248	289
HAUS3	733	1047	1175	1146
HAUS4	350	415	477	485
HAUS5	318	421	415	390
HAUS6	2553	3049	3524	3172
HAUS8	201	276	295	318
HAX1	1438	1743	1634	1478
HBP1	162	180	221	180
HBS1L	2488	3210	3157	3025
HCCS	346	470	479	465
HCFC1	1346	1806	3530	2491
HCFC2	227	282	336	300
HCN2	31	55	96	61
HCN3	30	41	57	36
HDAC1	3061	4014	3469	3071
HDAC10	69	76	112	77
HDAC11	43	38	60	46
HDAC2	3712	4669	5708	5377
HDAC3	1104	1379	1264	1147
HDAC4	76	88	137	110
HDAC5	397	455	450	426
HDAC6	448	601	667	566
HDAC7	71	107	103	66
HDAC8	514	659	767	643
HDDC2	770	915	985	922
HDDC3	91	117	133	124
HDGF	2207	2679	3241	3366
HDGFRP2	1126	1478	1542	1565
HDGFRP3	473	586	626	513
HDHD1	37	36	51	44
HDHD2	180	225	240	217
HDHD3	83	116	125	89
HDLBP	8734	11027	10676	9285
HDX	139	157	231	162
HEATR1	9557	11780	13079	12152
HEATR2	447	579	771	674
HEATR3	1164	1357	1565	1342
HEATR5A	1070	1246	1416	1360
HEATR5B	1360	1604	1822	1724
HEATR6	555	677	825	701
HEBP1	54	54	109	93
HEBP2	569	725	702	700
HECA	160	212	286	227
HECTD1	5143	6512	7160	6763
HECTD2	146	220	264	228
HECTD3	165	230	321	284
HECTD4	953	1286	2054	1746
HECW2	86	100	104	107
HEG1	108	129	194	162
HELB	323	398	540	485
HELLS	3170	4098	5986	5487
HELQ	367	437	542	477
HELZ	1423	1845	2498	2185
HELZ2	85	101	143	165
HEMK1	146	155	159	103
HERC1	2073	2587	3196	2847
HERC2	2868	3949	5581	4937
HERC3	258	347	446	384
HERC4	489	654	788	687
HERC5	631	752	862	839
HERC6	73	79	87	91
HERPUD1	291	396	328	275
HERPUD2	118	151	176	125
HES1	179	200	189	149
HES4	246	308	435	440
HES6	35	45	70	66
HEXA	939	1139	1172	971
HEXB	1003	1218	1191	1066
HEXDC	139	216	174	185
HEXIM1	212	322	251	247
HEXIM2	21	29	41	47
HEY1	1065	1448	1228	1219
HEY2	21	39	46	33
HFM1	113	160	207	193
HGS	663	795	916	767
HGSNAT	176	238	286	245
HHAT	29	24	47	30
HHEX	31	41	50	46
HHIP	20	20	44	48
HIAT1	789	989	865	771
HIATL1	560	719	705	717
HIBADH	289	375	378	407
HIBCH	515	671	706	663
HIC2	164	234	258	216
HID1	32	31	44	31
HIF1A	1582	1969	2058	1890
HIF1AN	271	373	404	392
HIGD1A	661	853	726	601
HIGD2A	374	498	439	333
HILPDA	24	27	31	35
HINFP	194	257	275	256
HINT1	1333	1748	1468	1219
HINT2	115	134	222	194
HINT3	92	113	148	131
HIP1	254	321	420	397
HIP1R	319	392	478	477
HIPK1	734	924	1086	850
HIPK2	172	273	387	327
HIPK3	892	1060	1252	1137
HIRA	1011	1235	1659	1500
HIRIP3	292	378	345	354
HIST1H1C	23257	27331	26520	25087
HIST1H1D	2896	3495	3914	3647
HIST1H1E	13106	15507	16437	15472
HIST1H2AB	1499	1880	1400	1053
HIST1H2AC	3271	3681	3606	3133
HIST1H2AD	3276	3836	2805	2192
HIST1H2AE	38	60	32	24
HIST1H2AG	7452	8409	7582	5788
HIST1H2AH	6859	7840	7100	6055
HIST1H2AJ	3361	3588	3244	2693
HIST1H2AK	1360	1535	1179	923
HIST1H2AL	736	848	948	790
HIST1H2AM	3787	4524	4355	3728
HIST1H2BC	9970	13162	8877	6668
HIST1H2BD	11246	14371	10091	7446
HIST1H2BE	5885	7771	5216	3858
HIST1H2BF	1280	1643	1477	1264
HIST1H2BI	919	1095	1169	870
HIST1H2BJ	10967	14015	9400	6905
HIST1H2BK	15257	18797	15573	13113
HIST1H2BL	2264	2970	2372	2017
HIST1H2BN	6544	8381	5276	4145
HIST1H2BO	9575	12312	8228	6577
HIST1H3A	2097	2409	2200	1798
HIST1H3B	7442	8945	9346	8663
HIST1H3E	41	45	42	27
HIST1H3F	173	227	258	220
HIST1H3H	3772	4136	4203	3637
HIST1H3J	1019	1321	1171	926
HIST1H4A	675	794	923	896
HIST1H4B	5848	7388	8063	7785
HIST1H4C	5572	7361	7931	7575
HIST1H4D	3724	4315	4516	4397
HIST1H4E	2813	3608	3986	3993
HIST1H4H	2712	3493	2867	2365
