	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
GPSM1	194	113	398	535
GPSM2	135	89	238	315
GPT2	139	98	301	357
GPX1	289	202	462	794
GPX3	87	52	165	235
GPX4	375	258	640	859
GPX8	69	40	128	183
GRAMD1A	443	297	1167	1590
GRAMD1B	19	31	57	71
GRAMD1C	14	9	29	31
GRAMD4	40	26	93	131
GRB10	106	94	276	310
GRB14	29	17	52	53
GRB2	456	285	847	1266
GREB1	6	6	16	24
GREB1L	94	53	209	317
GRHL1	26	21	64	81
GRHPR	266	166	516	666
GRID1	34	33	94	127
GRINA	366	276	779	1243
GRIP1	75	43	149	183
GRIPAP1	183	119	358	484
GRK4	1	0	3	3
GRK5	7	12	29	31
GRK6	238	140	460	778
GRN	812	415	1329	2241
GRPEL1	426	340	776	1035
GRPEL2	281	217	477	644
GRSF1	962	718	1956	2504
GRTP1	39	29	74	79
GRWD1	472	335	731	1198
GSE1	369	218	592	931
GSG2	157	138	328	490
GSK3A	397	302	789	1115
GSK3B	204	163	345	456
GSKIP	91	78	186	241
GSN	123	89	271	355
GSPT1	751	511	1599	1954
GSR	1024	748	2118	2897
GSS	292	208	605	815
GSTA4	165	129	397	523
GSTCD	149	93	196	252
GSTK1	155	107	342	475
GSTM1	9	6	12	21
GSTM3	274	201	560	779
GSTM4	8	4	14	23
GSTO1	1236	870	2455	3626
GSTP1	427	273	808	1226
GSTZ1	65	39	131	144
GTDC1	7	6	22	29
GTDC2	50	33	97	175
GTF2A1	316	267	605	906
GTF2A2	306	220	550	722
GTF2B	487	366	748	1099
GTF2E1	92	53	137	201
GTF2E2	219	173	574	707
GTF2F1	564	445	1083	1748
GTF2F2	337	262	742	856
GTF2H1	113	64	289	299
GTF2H2	560	413	1012	1308
GTF2H2C	558	408	1003	1309
GTF2H3	344	271	616	816
GTF2H4	147	90	243	314
GTF2H5	147	124	266	367
GTF2I	1613	1227	2925	4246
GTF2IRD1	75	59	150	222
GTF2IRD2	36	28	54	83
GTF2IRD2B	36	29	54	84
GTF3A	166	121	245	379
GTF3C1	1438	1000	2470	3540
GTF3C2	314	243	568	800
GTF3C3	547	428	1093	1412
GTF3C4	544	376	892	1181
GTF3C5	606	410	1037	1463
GTF3C6	195	173	418	529
GTPBP1	311	212	584	805
GTPBP10	198	176	373	524
GTPBP2	131	70	228	295
GTPBP3	312	206	503	815
GTPBP4	1383	1067	2573	3352
GTPBP6	158	96	294	416
GTPBP8	140	107	232	303
GTSE1	520	392	773	1268
GUCD1	84	49	129	189
GUCY1A2	30	14	59	75
GUCY1A3	53	47	79	128
GUCY1B3	169	110	364	448
GUF1	244	182	445	559
GUK1	128	117	300	413
GULP1	46	35	130	130
GUSB	152	97	320	475
GXYLT1	216	127	329	505
GXYLT2	10	2	15	33
GYG1	280	210	667	855
GYG2	0	0	1	0
GYLTL1B	8	4	22	24
GYPC	0	0	0	0
GYS1	401	274	713	1044
GZF1	83	56	115	162
H1F0	143	117	308	373
H1FX	915	588	1392	2276
H2AFJ	111	68	216	346
H2AFV	649	458	1173	1614
H2AFX	1689	1262	3532	5153
H2AFY	1668	1235	3338	4967
H2AFY2	233	189	520	702
H2AFZ	2473	1647	4895	5982
H3F3A	3793	2695	8301	10387
H3F3B	1113	801	1795	2802
H3F3C	514	376	882	1338
H6PD	53	40	100	153
HABP4	44	28	124	165
HACE1	38	43	140	165
HACL1	455	323	805	1042
HADH	292	234	609	888
HADHA	942	692	1802	2495
HADHB	766	588	1512	2056
HAGH	192	165	397	634
HAPLN3	32	26	49	67
HARBI1	9	11	21	51
HARS	796	578	1353	2232
HARS2	197	164	355	494
HAT1	1246	1045	2395	3177
HAUS1	317	264	765	998
HAUS2	116	96	255	279
HAUS3	177	164	399	431
HAUS4	67	64	167	271
HAUS5	444	323	871	1316
HAUS6	403	308	720	883
HAUS8	144	80	201	342
HAX1	318	238	595	1024
HBP1	168	139	253	308
HBS1L	396	299	1075	1412
HCCS	80	56	154	201
HCFC1	1054	767	2237	3458
HCFC2	56	27	118	167
HCN2	15	10	57	76
HCN3	10	5	13	16
HDAC1	1700	1176	3227	4540
HDAC10	21	14	31	55
HDAC11	28	14	51	65
HDAC2	2039	1547	4201	5884
HDAC3	298	236	651	891
HDAC4	61	45	102	155
HDAC5	51	33	112	120
HDAC6	123	98	230	324
HDAC7	75	50	167	254
HDAC8	110	71	193	213
HDDC2	631	446	1179	1436
HDDC3	25	23	49	61
HDGF	757	572	1636	2493
HDGFRP2	533	377	1009	1636
HDGFRP3	43	41	146	181
HDHD1	5	4	3	7
HDHD2	133	91	255	313
HDHD3	26	19	42	72
HDLBP	2017	1432	4838	6453
HDX	1	0	0	0
HEATR1	1272	1009	2419	3144
HEATR2	687	510	1259	2050
HEATR3	211	131	398	572
HEATR5A	220	148	340	522
HEATR5B	285	196	552	798
HEATR6	236	203	466	645
HEBP1	177	107	304	435
HEBP2	219	144	612	742
HECA	54	38	160	226
HECTD1	887	637	1481	2149
HECTD2	48	23	98	143
HECTD3	193	139	383	491
HECTD4	459	253	669	900
HECW2	25	11	48	70
HEG1	77	44	123	186
HELB	153	107	247	340
HELLS	1800	1456	3078	4047
HELQ	47	39	82	116
HELZ	788	565	1044	1350
HELZ2	39	22	61	110
HEMK1	25	18	54	71
HERC1	500	365	761	1004
HERC2	755	484	1123	1587
HERC3	126	108	244	329
HERC4	231	172	457	549
HERC5	350	235	591	849
HERC6	88	59	164	205
HERPUD1	168	114	277	377
HERPUD2	70	40	145	160
HES1	541	379	636	1044
HES4	87	57	219	329
HES6	31	29	66	88
HEXA	206	145	457	600
HEXB	311	227	640	840
HEXDC	25	11	36	50
HEXIM1	223	186	274	640
HEXIM2	20	19	22	52
HEY1	179	110	198	315
HEY2	84	42	130	205
HFM1	10	8	15	21
HGS	385	278	680	1035
HGSNAT	71	59	120	210
HHAT	18	13	23	35
HHEX	47	32	83	151
HHIP	16	14	40	49
HIAT1	136	92	260	369
HIATL1	145	69	234	348
HIBADH	247	168	460	637
HIBCH	272	211	584	679
HIC2	65	41	94	186
HID1	63	55	138	205
HIF1A	1568	1229	2760	3579
HIF1AN	245	172	477	711
HIGD1A	664	434	1022	1295
HIGD2A	197	122	370	574
HILPDA	39	12	58	77
HINFP	54	58	85	132
HINT1	1010	751	2324	3507
HINT2	74	53	140	209
HINT3	101	77	216	276
HIP1	107	83	247	350
HIP1R	147	106	315	445
HIPK1	265	185	584	852
HIPK2	69	55	172	268
HIPK3	138	86	261	325
HIRA	162	114	323	456
HIRIP3	142	128	230	446
HIST1H1C	8038	5945	16128	24273
HIST1H1D	1078	813	2458	3421
HIST1H1E	7352	5373	15756	23416
HIST1H2AB	1659	1194	2632	4007
HIST1H2AC	1965	1304	3073	5117
HIST1H2AD	2125	1434	4176	5525
HIST1H2AE	543	464	1106	1564
HIST1H2AG	3373	2314	6052	8665
HIST1H2AH	3215	2128	5961	8863
HIST1H2AJ	3262	2098	6158	7721
HIST1H2AK	779	628	2067	2240
HIST1H2AL	673	567	1571	2103
HIST1H2AM	1078	811	2167	2891
HIST1H2BC	4694	3964	7670	14974
HIST1H2BD	4466	3926	7221	14028
HIST1H2BE	3766	3415	6127	12243
HIST1H2BF	1866	1767	2952	6543
HIST1H2BI	1572	958	2871	3703
HIST1H2BJ	6578	5104	9965	17824
HIST1H2BK	7844	6231	13187	22083
HIST1H2BL	4059	3120	7118	9866
HIST1H2BN	4856	4148	7756	14193
HIST1H2BO	3492	3308	5481	11665
HIST1H3A	791	546	1234	1822
HIST1H3B	7873	5469	14665	21222
HIST1H3E	50	22	76	90
HIST1H3F	857	560	1600	2166
HIST1H3H	1704	1303	3299	4479
HIST1H3J	12	5	25	23
HIST1H4A	899	658	1661	2524
HIST1H4B	3053	2206	4888	7850
HIST1H4C	4363	3088	6740	10167
HIST1H4D	2108	1490	3779	5537
HIST1H4E	2366	1350	3489	5644
HIST1H4H	3128	2117	4637	7955
HIST1H4I	308	234	650	1061
HIST1H4J	1138	876	1932	3134
HIST1H4K	1138	876	1932	3134
HIST2H2AA4	21228	14668	40436	58294
HIST2H2AB	1760	1490	3252	4741
HIST2H2AC	6110	4298	11593	16304
HIST2H2BE	6052	4446	9783	14358
HIST2H2BF	6658	4658	10989	15435
HIST2H3C	22964	15806	36936	63234
HIST2H3D	5825	3964	9973	16924
HIST2H4A	20598	15594	39644	57438
HIST3H2A	1316	962	2681	3946
HIST3H2BB	2091	1509	3905	4739
HIST4H4	703	478	1282	1662
HIVEP1	167	110	240	382
HIVEP2	80	62	177	203
HJURP	453	339	759	1050
HK1	1008	665	2068	2911
HK2	407	270	621	1012
HKR1	164	131	207	295
HLA-A	1357	826	2598	4190
HLA-C	1465	899	2753	4249
HLA-DPA1	100	72	166	274
HLA-DQB1	81	56	159	192
HLA-E	368	229	587	1128
HLA-F	182	115	317	615
HLA-G	211	166	513	767
HLCS	149	91	286	415
HLTF	1051	782	2092	2542
HLX	36	29	55	98
HM13	640	394	1343	2068
HMBOX1	45	38	102	123
HMBS	189	119	335	482
HMCN1	34	13	59	82
HMG20A	139	125	259	360
HMG20B	61	44	105	203
HMGA1	379	256	726	1403
HMGA2	162	130	379	490
HMGB1	5284	4125	8483	13652
HMGB2	1462	1139	2266	4023
HMGB3	737	540	1172	1797
HMGCL	101	73	196	222
HMGCR	734	456	1345	1901
HMGCS1	970	711	1529	2264
HMGN1	551	446	1102	1736
HMGN2	3899	2660	5499	9625
HMGN3	274	188	436	738
HMGN4	71	55	167	234
HMGN5	108	99	214	329
HMGXB3	227	166	333	452
HMGXB4	178	148	293	351
HMMR	691	505	1198	1491
HMOX1	126	93	170	265
HMOX2	169	125	299	445
HN1	909	609	1627	2708
HN1L	510	380	776	1222
HNRNPA0	1275	890	2323	3525
HNRNPA1	7740	5662	16727	26842
HNRNPA1L2	3837	2903	8356	13434
HNRNPA2B1	11595	8674	19289	29989
HNRNPA3	3939	2607	6150	10951
HNRNPAB	2690	1914	4573	7341
HNRNPC	4608	3328	7895	12315
HNRNPD	2995	2214	5094	8493
HNRNPF	2479	1806	4374	6928
HNRNPH1	4876	3492	8276	12555
HNRNPH2	1064	823	1436	2240
HNRNPH3	1182	836	2128	3441
HNRNPK	7262	5112	12060	19357
HNRNPL	5874	3967	9786	14928
HNRNPM	4581	3143	7130	12081
HNRNPR	3495	2721	6041	8229
HNRNPU	8985	6956	14657	23379
HNRNPUL1	1578	1185	3033	4080
HNRNPUL2	975	719	1561	2677
HNRPDL	2279	1792	4029	5884
HNRPLL	261	194	608	859
HOMER1	80	60	195	235
HOMER2	22	14	50	67
HOMER3	18	13	38	41
HOMEZ	94	66	132	188
HOOK1	273	249	634	790
HOOK2	77	45	103	158
HOOK3	356	266	712	838
HOXA1	68	38	78	131
HOXA10	270	208	471	680
HOXA11	175	138	291	381
HOXA13	195	156	412	646
HOXA2	2	0	2	4
HOXA3	23	15	24	48
HOXA5	175	129	257	416
HOXA6	53	40	36	66
HOXA9	323	237	487	775
HOXB13	33	24	52	88
HOXB2	116	79	95	167
HOXB3	22	18	22	42
HOXB4	26	16	27	38
HOXB5	79	52	75	154
HOXB6	195	144	287	394
HOXB7	112	74	116	213
HOXB8	39	17	45	72
HOXB9	241	180	389	565
HOXC10	53	38	102	144
HOXC4	43	33	61	76
HOXC6	63	31	62	91
HOXC8	52	43	64	124
HOXC9	162	112	236	353
HOXD10	29	29	36	46
HOXD11	167	116	245	317
HOXD13	117	93	255	362
HOXD4	4	2	3	11
HOXD8	19	16	31	45
HOXD9	16	3	32	16
HP1BP3	759	633	1316	1874
HPCAL1	34	26	85	136
HPGD	20	25	67	82
HPRT1	1089	880	2401	3168
HPS1	47	25	88	136
HPS3	153	105	318	374
HPS4	64	38	107	141
HPS5	106	81	195	226
HPS6	201	146	311	503
HPSE	30	18	85	81
HRAS	96	75	163	300
HRASLS	26	13	34	35
HRSP12	110	73	218	251
HS1BP3	88	45	141	190
HS2ST1	155	90	232	396
HS3ST3A1	32	28	57	81
HS3ST3B1	29	34	56	91
HS6ST1	30	25	55	69
HS6ST2	348	195	478	786
HS6ST3	5	10	13	24
HSBP1	408	300	712	1052
HSCB	125	86	217	308
HSD17B10	838	539	1651	2438
HSD17B11	90	62	185	274
HSD17B12	632	493	1331	1803
HSD17B4	1313	941	2618	3416
HSD17B6	13	6	32	39
HSD17B7	151	108	239	296
HSD17B8	20	10	44	41
HSDL1	115	90	255	319
HSDL2	305	183	618	807
HSF1	103	76	292	372
HSF2	398	316	854	1084
HSF4	2	0	2	0
HSP90AA1	27961	20828	46782	70536
HSP90AB1	12485	9241	24104	39022
HSP90B1	5467	3371	10283	15593
HSPA12A	69	62	164	220
HSPA13	277	176	506	669
HSPA14	414	284	857	1159
HSPA1A	5853	4322	14908	28231
HSPA1B	6071	4488	15448	29400
HSPA1L	530	417	1512	2647
HSPA4	4350	3156	8452	11075
HSPA4L	767	585	1467	1868
HSPA5	3906	2349	6112	9490
HSPA8	15459	10936	33764	59094
HSPA9	5598	3952	9988	14781
HSPB1	233	142	321	537
HSPB11	316	212	588	897
HSPBAP1	28	26	56	91
HSPBP1	336	180	540	948
HSPD1	8415	6029	17132	25410
HSPE1-MOB4	1156	818	1763	2522
HSPG2	189	97	314	470
HSPH1	2201	1588	3736	5608
HTATIP2	168	112	310	448
HTATSF1	556	415	1298	1823
HTRA1	14	7	38	55
HTRA2	146	94	294	424
HTT	474	300	939	1324
HUNK	50	31	87	119
HUS1	111	85	218	380
HUWE1	3538	2516	6213	8309
HYAL2	45	30	81	158
HYAL3	13	5	21	21
HYI	71	50	131	224
HYLS1	15	17	37	44
HYOU1	613	369	1162	1986
HYPK	613	437	1075	1665
IAH1	134	66	288	363
IARS	1634	1231	4592	5305
IARS2	588	380	886	1243
IBA57	82	67	124	216
IBTK	450	317	891	967
ICA1	15	14	41	34
ICA1L	19	16	33	57
ICAM5	11	6	29	49
ICK	26	23	45	69
ICMT	247	159	570	786
ICT1	231	207	431	570
ID1	106	73	138	202
ID2	546	407	907	1333
ID3	489	334	650	974
ID4	338	224	475	887
IDE	708	538	1299	1692
IDH1	548	385	1044	1400
IDH2	161	107	335	526
IDH3A	436	347	853	1283
IDH3B	1074	750	2132	2894
IDH3G	389	289	770	1155
IDI1	815	621	1138	1710
IDS	15	18	34	40
IER2	206	137	218	441
IER3IP1	164	113	260	341
IER5	84	65	105	220
IFFO1	99	57	165	246
IFFO2	62	40	104	183
IFI27L1	7	3	15	54
IFI27L2	85	67	168	307
IFI30	232	142	504	669
IFIT1	79	56	139	161
IFIT5	292	259	634	846
IFNAR1	152	104	247	319
IFNAR2	39	39	117	149
IFNGR1	215	137	436	592
IFNGR2	59	32	136	170
IFNLR1	25	14	30	65
IFRD1	440	248	301	351
IFRD2	185	135	278	417
IFT122	136	87	259	334
IFT140	80	74	169	232
IFT172	181	103	310	403
IFT20	27	18	41	65
IFT27	99	74	210	311
IFT43	65	48	122	151
IFT46	64	55	132	219
IFT52	115	93	248	328
IFT57	166	132	422	529
IFT74	158	122	302	299
IFT80	51	62	97	147
IFT81	175	148	434	500
IFT88	69	54	210	229
IGBP1	215	152	406	578
IGDCC3	3	2	4	8
IGDCC4	8	3	17	23
IGF1R	157	100	262	400
IGF2BP1	859	676	1720	2629
IGF2BP2	316	240	767	1024
IGF2BP3	518	430	927	1329
IGF2R	982	568	1593	2367
IGFBP2	299	211	751	1251
IGHMBP2	119	76	213	315
IGSF3	79	71	220	245
IGSF8	84	44	177	236
IGSF9B	10	3	19	26
IK	1247	917	1973	2954
IKBIP	283	184	469	696
IKBKAP	792	595	1327	1824
IKBKB	147	78	217	293
IKBKG	152	97	204	436
IKZF2	11	2	13	23
IKZF5	128	67	110	151
IL11RA	7	3	15	16
IL12RB2	45	34	67	90
IL13RA1	127	113	301	323
IL17RA	88	54	138	204
IL17RB	20	21	64	73
IL17RC	12	10	26	29
IL17RD	18	10	25	42
IL18R1	8	5	20	28
IL1RAP	25	14	45	66
IL27RA	25	13	47	85
IL4R	13	9	26	42
IL6ST	164	101	327	466
ILDR2	6	13	27	35
ILF2	4301	3114	7502	11123
ILF3	3068	2225	5782	9203
ILK	133	112	277	408
ILKAP	232	187	506	730
ILVBL	261	142	438	724
IMMP1L	43	15	63	81
IMMP2L	26	17	40	70
IMMT	1168	823	2223	2968
IMP3	292	204	544	823
IMP4	230	140	375	598
IMPA1	248	177	469	623
IMPA2	37	19	55	64
IMPACT	73	54	144	216
IMPAD1	183	127	403	633
IMPDH1	542	340	887	1308
IMPDH2	1236	826	2748	3743
INA	242	165	336	600
INADL	208	100	321	423
INCENP	654	503	915	1568
INF2	287	188	543	817
ING1	49	37	62	126
ING2	23	14	49	79
ING3	260	175	342	511
ING4	138	97	194	311
ING5	96	80	163	272
INIP	36	33	78	90
INO80	112	80	188	283
INO80B	80	54	114	190
INO80C	108	58	180	223
INO80D	54	44	91	138
INO80E	230	176	426	585
INPP1	74	42	114	205
INPP4A	79	53	200	213
INPP4B	63	54	98	103
INPP5A	37	28	72	118
INPP5B	116	75	199	288
INPP5E	41	22	72	91
INPP5F	152	112	381	500
INPP5J	21	19	42	63
INPP5K	121	103	258	360
INPPL1	143	105	343	501
INSIG1	190	114	464	608
INSIG2	34	11	57	74
INSR	173	107	261	371
INTS1	462	290	1006	1509
INTS10	206	177	463	580
INTS12	132	94	209	284
INTS2	441	288	644	904
INTS3	611	438	1117	1676
INTS4	254	181	484	584
INTS5	200	126	310	533
INTS6	244	180	418	703
INTS7	391	327	861	1124
INTS8	385	274	829	873
INTS9	234	149	345	523
INTU	46	35	120	156
INVS	41	23	79	85
IP6K1	178	115	303	478
IP6K2	244	213	413	567
IPCEF1	73	46	163	232
IPMK	51	45	114	165
IPO11	550	395	1209	1521
IPO13	136	102	198	268
IPO4	707	521	1295	2059
IPO5	2392	1738	5168	7387
IPO7	2197	1594	4552	6268
IPO8	819	585	1247	1741
IPO9	669	391	1117	1482
IPP	107	86	199	258
IPPK	69	53	162	223
IQCB1	197	145	441	553
IQCC	22	44	38	52
IQCE	41	24	59	106
IQCG	14	7	31	37
IQCH	5	6	10	10
IQCJ-SCHIP1	68	48	129	176
IQCK	22	18	29	49
IQGAP1	890	537	1091	1919
IQGAP2	425	284	673	779
IQGAP3	256	163	374	628
IQSEC1	106	69	239	299
IRAK1	266	157	581	874
IRAK1BP1	78	51	148	138
IRAK2	14	18	24	47
IRAK4	55	48	120	134
IREB2	518	403	953	1187
IRF1	46	22	52	72
IRF2BP1	208	181	467	750
IRF2BP2	352	218	627	937
IRF2BPL	135	106	289	438
IRF3	116	84	195	306
IRF9	9	2	6	7
IRGQ	259	182	433	764
IRS1	32	29	90	104
IRS4	6243	4397	9387	13638
IRX3	75	41	96	220
IRX5	47	26	53	119
ISCA1	75	77	239	255
ISCA2	63	49	150	224
ISCU	122	80	238	456
ISG20L2	185	119	277	410
ISL1	24	12	27	45
ISL2	69	54	117	152
ISOC1	283	205	602	803
ISOC2	138	98	233	344
ISPD	14	11	15	30
IST1	365	298	722	938
ISY1-RAB43	226	170	476	661
ISYNA1	1177	725	2132	3131
ITCH	249	190	623	722
ITFG1	133	96	260	327
ITFG2	59	33	71	144
ITFG3	93	65	232	282
ITGA1	84	56	109	150
ITGA2	105	62	206	290
ITGA3	27	14	39	65
ITGA4	124	82	210	249
ITGA5	155	98	325	463
ITGA6	167	97	321	419
ITGA7	47	38	102	124
ITGA8	123	86	217	309
ITGA9	10	10	26	24
ITGAE	86	54	107	201
ITGAV	363	187	576	810
ITGB1	1557	1054	3226	4231
ITGB1BP1	64	38	93	150
ITGB3BP	278	186	486	585
ITGB5	68	38	116	186
ITIH4	0	0	2	2
ITM2B	1512	887	3049	3864
ITM2C	531	319	1144	1662
ITPA	408	290	631	1048
ITPK1	162	104	304	414
ITPKB	59	29	70	113
ITPKC	92	48	142	225
ITPR1	192	137	384	532
ITPR2	291	223	579	735
ITPR3	263	180	520	791
ITPRIP	47	24	98	123
ITPRIPL1	0	0	1	0
ITPRIPL2	27	8	35	75
ITSN1	202	134	371	451
ITSN2	132	97	270	356
IVD	363	226	599	879
IVNS1ABP	150	115	441	512
IWS1	463	300	865	1102
JAG1	156	75	252	417
JAG2	132	75	261	509
JAGN1	263	164	470	659
JAK1	594	392	1147	1496
JAK2	13	19	38	69
JAKMIP1	1	2	11	14
JAM3	177	102	338	454
JARID2	187	151	357	463
JAZF1	59	57	94	139
JHDM1D	97	62	182	246
JKAMP	165	105	292	402
JMJD1C	424	360	703	869
JMJD4	277	198	388	616
JMJD6	233	175	431	679
JMJD7-PLA2G4B	16	6	19	24
JMJD8	111	56	136	164
JMY	181	150	342	485
JOSD1	39	21	67	126
JOSD2	38	22	66	83
JPH1	87	50	186	256
JPH3	10	8	15	29
JRK	39	36	79	132
JRKL	53	36	99	130
JTB	150	116	418	575
JUN	310	221	682	1088
JUND	96	78	243	299
JUP	425	274	745	1028
KALRN	17	8	40	33
KANK1	97	77	195	238
KANK2	112	87	270	340
KANSL1	180	152	284	361
KANSL1L	29	25	87	136
KANSL2	231	175	370	458
KANSL3	216	146	338	481
KARS	833	609	1933	2474
KAT2A	219	160	420	733
KAT2B	125	90	263	363
KAT5	214	121	287	500
KAT6A	523	378	820	1121
KAT6B	172	128	282	425
KAT7	493	357	875	1165
KAT8	114	93	260	315
KATNA1	258	218	477	724
KATNAL1	95	64	176	247
KATNB1	139	81	209	332
KATNBL1	45	23	108	123
KAZN	26	9	46	74
KBTBD2	127	105	225	275
KBTBD3	18	11	21	27
KBTBD4	143	80	183	270
KBTBD6	380	263	609	970
KBTBD7	248	171	419	664
KBTBD8	96	60	125	223
KCMF1	149	95	282	358
KCNB2	29	16	37	54
KCNC4	20	17	45	62
KCNG1	24	13	42	65
KCNG3	10	6	26	42
KCNJ11	12	7	30	26
KCNJ12	0	0	0	0
KCNJ8	61	36	163	168
KCNK1	41	36	97	140
KCNK5	45	30	62	113
KCNMB4	22	16	31	36
KCNQ2	8	6	12	37
KCNQ5	47	36	99	143
KCNRG	3	1	2	3
KCNT2	0	0	0	0
KCTD1	58	32	87	133
KCTD10	213	157	396	521
KCTD12	523	335	1136	1531
KCTD13	23	16	46	72
KCTD15	129	100	270	350
KCTD17	64	61	125	249
KCTD18	29	27	53	65
KCTD2	42	33	88	147
KCTD20	134	105	292	440
KCTD21	8	4	10	17
KCTD3	307	215	504	688
KCTD5	140	106	246	430
KCTD6	31	27	64	81
KCTD7	15	14	35	62
KCTD9	223	176	440	643
KDELC1	97	63	186	294
KDELC2	265	159	403	671
KDELR1	853	588	1788	2688
KDELR2	501	354	999	1604
KDELR3	46	39	107	165
KDM1A	1832	1290	3390	4562
KDM1B	112	99	264	359
KDM2A	225	188	424	606
KDM2B	219	165	414	552
KDM3A	298	191	419	575
KDM3B	866	602	1321	1895
KDM4A	556	386	897	1398
KDM4B	198	134	422	593
KDM4C	94	77	188	251
KDM4D	28	16	41	58
KDM5A	623	455	797	1249
KDM5B	764	525	1243	1858
KDM5C	749	536	1483	2366
KDM6A	251	180	365	516
KDM6B	31	20	61	87
KDM8	29	22	37	83
KDSR	146	89	223	312
KEAP1	233	142	360	659
KHDRBS1	2304	1582	4276	5990
KHDRBS3	63	47	158	194
KHK	71	40	120	202
KHNYN	54	34	92	157
KHSRP	2243	1562	4830	7585
KIAA0020	421	314	770	1097
KIAA0100	321	186	554	638
KIAA0101	389	392	923	1396
KIAA0141	151	121	318	421
KIAA0146	153	114	248	383
KIAA0195	88	52	156	218
KIAA0196	220	166	526	653
KIAA0226	39	29	100	126
KIAA0232	58	52	136	149
KIAA0319L	154	95	294	475
KIAA0355	222	121	326	491
KIAA0368	831	701	1672	2218
KIAA0391	201	159	383	428
KIAA0408	2	3	3	2
KIAA0430	126	72	246	268
KIAA0513	17	6	37	31
KIAA0556	50	36	77	130
KIAA0586	213	155	348	463
KIAA0753	112	98	187	266
KIAA0754	124	64	207	186
KIAA0825	4	7	12	8
KIAA0895	66	60	118	146
KIAA0895L	16	7	22	34
KIAA0907	178	125	342	409
KIAA0922	276	172	429	573
KIAA0930	83	37	141	181
KIAA0947	220	139	377	530
KIAA1009	65	69	128	198
KIAA1024	2	1	3	4
KIAA1033	455	338	799	1016
KIAA1107	50	36	108	113
KIAA1109	109	61	174	181
KIAA1143	142	80	262	372
KIAA1147	78	61	178	282
KIAA1191	116	70	162	217
KIAA1211	41	32	79	107
KIAA1217	121	81	167	224
KIAA1244	145	125	360	488
KIAA1279	912	701	1631	2293
KIAA1324L	37	19	62	73
KIAA1328	13	9	27	26
KIAA1377	8	11	7	13
KIAA1407	7	6	12	14
KIAA1429	600	380	994	1339
KIAA1430	166	135	393	463
KIAA1432	92	73	202	270
KIAA1462	72	48	144	179
KIAA1467	191	107	302	433
KIAA1468	258	180	366	497
KIAA1522	88	65	215	292
KIAA1524	469	363	887	1157
KIAA1549	76	36	148	218
KIAA1549L	14	14	40	64
KIAA1551	114	85	208	235
KIAA1586	391	310	700	883
KIAA1598	261	177	534	679
KIAA1671	195	132	257	447
KIAA1704	252	192	446	522
KIAA1715	130	81	279	345
KIAA1731	216	184	336	399
KIAA1737	52	43	111	141
KIAA1804	76	64	223	255
KIAA1841	31	19	111	160
KIAA1919	72	31	107	147
KIAA1958	45	24	99	123
KIAA1967	762	499	1090	1985
KIAA2013	216	139	442	685
KIAA2018	18	15	43	42
KIAA2022	1	1	0	1
KIAA2026	28	14	58	43
KIDINS220	374	225	591	851
KIF11	1810	1449	2761	3877
KIF13A	74	49	142	174
KIF13B	160	103	272	383
KIF14	372	261	558	732
KIF15	156	123	270	357
KIF16B	76	65	123	190
KIF17	11	4	20	21
KIF18A	219	200	355	517
KIF18B	386	269	578	938
KIF1A	822	560	1524	2083
KIF1B	405	273	901	1122
KIF1C	154	111	296	473
KIF20A	1452	997	2276	3325
KIF20B	1166	924	1683	2322
KIF21A	264	172	591	831
KIF21B	5	3	18	11
KIF22	869	582	1423	2071
KIF23	933	685	1555	2153
KIF24	46	51	114	159
KIF26A	68	51	141	258
KIF26B	34	27	62	79
KIF27	17	11	43	52
KIF2A	406	306	828	1107
KIF2C	929	723	1441	1973
KIF3A	413	293	842	1140
KIF3B	93	50	138	195
KIF3C	19	13	49	62
KIF4A	755	541	1242	1897
KIF4B	167	117	232	377
KIF5A	48	28	77	120
KIF5B	1402	1015	3253	4245
KIF5C	107	85	269	385
KIF6	9	13	25	31
KIF7	120	63	169	270
KIF9	24	8	25	26
KIFAP3	317	247	624	895
KIFC1	667	424	890	1490
KIFC2	1	0	8	10
KIFC3	31	16	62	111
KIN	223	175	375	564
KIRREL	50	50	125	172
KIT	83	47	176	224
KITLG	44	48	93	156
KLC1	598	449	1238	1710
KLC2	277	190	596	830
KLC3	22	9	52	54
KLC4	135	86	218	300
KLF10	142	104	181	237
KLF11	29	25	70	89
KLF12	36	26	65	139
KLF15	33	16	39	109
KLF16	72	45	117	171
KLF3	103	72	168	241
KLF5	109	73	160	233
KLF6	87	53	127	178
KLF9	45	27	92	150
KLHDC10	134	96	355	445
KLHDC2	219	154	413	559
KLHDC3	215	144	486	686
KLHDC4	129	128	253	401
KLHDC8B	5	9	19	29
KLHL11	286	190	448	679
KLHL12	104	99	271	388
KLHL13	170	131	310	419
KLHL15	2133	1605	3737	4833
KLHL17	35	29	71	98
KLHL18	91	81	122	188
KLHL2	20	19	36	66
KLHL20	95	57	118	175
KLHL21	253	150	413	659
KLHL22	168	109	301	420
KLHL23	295	211	597	837
KLHL24	134	75	193	252
KLHL25	30	32	49	97
KLHL26	65	52	141	192
KLHL28	46	32	75	128
KLHL29	11	10	31	38
KLHL36	36	18	65	73
KLHL41	4	5	15	15
KLHL42	117	102	231	375
KLHL5	53	27	118	154
KLHL7	117	93	251	308
